agency_name,facility_types,approx_pop,contact_person,contact_title,contact_phone,contact_email,rand_numb
El Centro City,Collection | Disposal,518617,Person from El Centro City,Job Title,1-800-555-6326,person@agency.gov,9
Santa Barbara City PWD, Interception | Disposal,817898,Person from Santa Barbara City PWD,Job Title,1-800-555-5644,person@agency.gov,10
USDI National Park Service Yosemite National Park,Interception | Treatment,727450,Person from USDI National Park Service Yosemite National Park,Job Title,1-800-555-4516,person@agency.gov,8
SOCWA-Aliso Creek Ocean O/F,Collection | Disposal,65516,Person from SOCWA-Aliso Creek Ocean O/F,Job Title,1-800-555-4238,person@agency.gov,9
Eureka City, Interception | Disposal,685799,Person from Eureka City,Job Title,1-800-555-5706,person@agency.gov,10
Fallbrook Public Utility District,Collection | Treatment,907572,Person from Fallbrook Public Utility District,Job Title,1-800-555-4959,person@agency.gov,3
Fort Bragg City,Treatment | Disposal,353580,Person from Fort Bragg City,Job Title,1-800-555-2871,person@agency.gov,4
Fortuna City,Treatment | Disposal,280688,Person from Fortuna City,Job Title,1-800-555-2950,person@agency.gov,4
Fairfield Suisun Sewer District,Collection | Treatment,991129,Person from Fairfield Suisun Sewer District,Job Title,1-800-555-4286,person@agency.gov,3
Galt City,Treatment,49646,Person from Galt City,Job Title,1-800-555-7087,person@agency.gov,5
Goleta SD,Collection | Disposal,197074,Person from Goleta SD,Job Title,1-800-555-5837,person@agency.gov,9
Grass Valley City,Interception | Treatment,189898,Person from Grass Valley City,Job Title,1-800-555-3406,person@agency.gov,8
Escondido City,Collection | Treatment,421302,Person from Escondido City,Job Title,1-800-555-1518,person@agency.gov,3
Hayward City,Interception | Treatment | Disposal,118913,Person from Hayward City,Job Title,1-800-555-2223,person@agency.gov,6
Healdsburg City, Interception | Disposal,991125,Person from Healdsburg City,Job Title,1-800-555-7484,person@agency.gov,10
Thousand Oaks City,Treatment | Disposal,447069,Person from Thousand Oaks City,Job Title,1-800-555-2571,person@agency.gov,4
Los Angeles City Bureau of Sanitation,Collection | Interception | Treatment | Disposal,597428,Person from Los Angeles City Bureau of Sanitation,Job Title,1-800-555-2210,person@agency.gov,1
Imperial City, Interception | Disposal,593989,Person from Imperial City,Job Title,1-800-555-8846,person@agency.gov,10
Ironhouse Sanitary District,Collection | Treatment,298805,Person from Ironhouse Sanitary District,Job Title,1-800-555-4502,person@agency.gov,3
Joint Outfall System,Interception | Treatment | Disposal,989814,Person from Joint Outfall System,Job Title,1-800-555-7163,person@agency.gov,7
Oceanside City,Interception | Treatment | Disposal,900803,Person from Oceanside City,Job Title,1-800-555-6467,person@agency.gov,6
Las Gallinas Valley Sanitary District,Treatment,889019,Person from Las Gallinas Valley Sanitary District,Job Title,1-800-555-9862,person@agency.gov,5
SOCWA-San Juan Creek Ocean O/F,Treatment,82291,Person from SOCWA-San Juan Creek Ocean O/F,Job Title,1-800-555-1532,person@agency.gov,5
Linda Cnty Water District,Collection | Treatment,6222,Person from Linda Cnty Water District,Job Title,1-800-555-9933,person@agency.gov,3
Livermore City,Interception | Treatment | Disposal,918178,Person from Livermore City,Job Title,1-800-555-5262,person@agency.gov,7
Lompoc City,Interception | Treatment | Disposal,351027,Person from Lompoc City,Job Title,1-800-555-5104,person@agency.gov,6
Lincoln City,Interception | Treatment | Disposal,952630,Person from Lincoln City,Job Title,1-800-555-6737,person@agency.gov,6
Manteca City,Interception | Treatment | Disposal,400310,Person from Manteca City,Job Title,1-800-555-1817,person@agency.gov,7
McKinleyville CSD,Collection | Disposal,86734,Person from McKinleyville CSD,Job Title,1-800-555-5272,person@agency.gov,9
Millbrae City,Interception | Treatment,348661,Person from Millbrae City,Job Title,1-800-555-1238,person@agency.gov,8
Modesto City,Collection | Disposal,605093,Person from Modesto City,Job Title,1-800-555-2571,person@agency.gov,9
Montecito Sanitary District,Treatment | Disposal,470496,Person from Montecito Sanitary District,Job Title,1-800-555-3455,person@agency.gov,4
Morro Bay SD,Interception | Treatment,106825,Person from Morro Bay SD,Job Title,1-800-555-7078,person@agency.gov,8
Mountain House CSD,Interception | Treatment | Disposal,512147,Person from Mountain House CSD,Job Title,1-800-555-9967,person@agency.gov,6
Monterey One Water, Interception | Disposal,934647,Person from Monterey One Water,Job Title,1-800-555-4149,person@agency.gov,10
Mt View Sanitary District,Interception | Treatment,404024,Person from Mt View Sanitary District,Job Title,1-800-555-3834,person@agency.gov,8
Ventura County Special Districts,Interception | Treatment | Disposal,50368,Person from Ventura County Special Districts,Job Title,1-800-555-4719,person@agency.gov,6
Napa Sanitation District,Treatment | Disposal,288117,Person from Napa Sanitation District,Job Title,1-800-555-8103,person@agency.gov,4
North San Mateo County Sanitation District,Collection | Disposal,94815,Person from North San Mateo County Sanitation District,Job Title,1-800-555-6944,person@agency.gov,9
Novato Sanitary District,Collection | Interception | Treatment | Disposal,21377,Person from Novato Sanitary District,Job Title,1-800-555-2651,person@agency.gov,1
Olivehurst PUD,Collection | Interception | Treatment | Disposal,377296,Person from Olivehurst PUD,Job Title,1-800-555-1155,person@agency.gov,1
Oro Loma Sanitary District,Treatment,740127,Person from Oro Loma Sanitary District,Job Title,1-800-555-9940,person@agency.gov,5
Sewerage Commission Oroville Region,Collection | Treatment,834218,Person from Sewerage Commission Oroville Region,Job Title,1-800-555-4461,person@agency.gov,3
Ojai Valley Sanitary District,Collection | Treatment,512963,Person from Ojai Valley Sanitary District,Job Title,1-800-555-8228,person@agency.gov,3
Oxnard City Wastewater Division,Collection | Treatment,926529,Person from Oxnard City Wastewater Division,Job Title,1-800-555-5538,person@agency.gov,3
Padre Dam Municipal Water District,Collection | Disposal,344115,Person from Padre Dam Municipal Water District,Job Title,1-800-555-8172,person@agency.gov,9
Palo Alto City,Interception | Treatment,107542,Person from Palo Alto City,Job Title,1-800-555-8966,person@agency.gov,8
City of El Paso de Robles, Interception | Disposal,137775,Person from City of El Paso de Robles,Job Title,1-800-555-5779,person@agency.gov,10
Petaluma City DPW,Treatment,812033,Person from Petaluma City DPW,Job Title,1-800-555-7456,person@agency.gov,5
Pismo Beach City, Interception | Disposal,426607,Person from Pismo Beach City,Job Title,1-800-555-1970,person@agency.gov,10
San Diego City Metropolitan Wastewater Dept (Public Utilities),Treatment,835011,Person from San Diego City Metropolitan Wastewater Dept (Public Utilities),Job Title,1-800-555-4041,person@agency.gov,5
Red Bluff City,Interception | Treatment,685628,Person from Red Bluff City,Job Title,1-800-555-7644,person@agency.gov,8
Richmond City,Collection | Disposal,948002,Person from Richmond City,Job Title,1-800-555-6258,person@agency.gov,9
Rodeo Sanitary District,Interception | Treatment | Disposal,498764,Person from Rodeo Sanitary District,Job Title,1-800-555-2784,person@agency.gov,7
South San Francisco City,Collection | Interception | Treatment | Disposal,269260,Person from South San Francisco City,Job Title,1-800-555-8816,person@agency.gov,1
Sacramento Regional CSD,Interception | Treatment | Disposal,616157,Person from Sacramento Regional CSD,Job Title,1-800-555-5011,person@agency.gov,7
SEWER AUTHORITY MID-COASTSIDE,Collection | Interception | Treatment | Disposal,778851,Person from SEWER AUTHORITY MID-COASTSIDE,Job Title,1-800-555-9217,person@agency.gov,1
San Elijo Joint Powers,Collection | Disposal,103694,Person from San Elijo Joint Powers,Job Title,1-800-555-2649,person@agency.gov,9
San Jose City,Interception | Treatment | Disposal,806302,Person from San Jose City,Job Title,1-800-555-2069,person@agency.gov,7
San Juan Bautista City,Collection | Interception | Treatment | Disposal,406736,Person from San Juan Bautista City,Job Title,1-800-555-3245,person@agency.gov,1
San Leandro City, Interception | Disposal,286713,Person from San Leandro City,Job Title,1-800-555-1553,person@agency.gov,10
San Luis Obispo City,Collection | Disposal,833263,Person from San Luis Obispo City,Job Title,1-800-555-1725,person@agency.gov,9
San Mateo City,Interception | Treatment,871150,Person from San Mateo City,Job Title,1-800-555-4477,person@agency.gov,8
Santa Cruz City,Treatment | Disposal,883923,Person from Santa Cruz City,Job Title,1-800-555-6055,person@agency.gov,4
Santa Rosa City Dept of Public Works,Collection | Interception | Treatment,71394,Person from Santa Rosa City Dept of Public Works,Job Title,1-800-555-4090,person@agency.gov,2
Sewerage Agency of Southern Marin,Collection | Treatment,424404,Person from Sewerage Agency of Southern Marin,Job Title,1-800-555-1909,person@agency.gov,3
Sausalito-Marin City San District,Collection | Interception | Treatment | Disposal,959931,Person from Sausalito-Marin City San District,Job Title,1-800-555-2218,person@agency.gov,1
Silicon Valley Clean Water, Interception | Disposal,268524,Person from Silicon Valley Clean Water,Job Title,1-800-555-6315,person@agency.gov,10
South County Regional WW Authority,Collection | Interception | Treatment | Disposal,686281,Person from South County Regional WW Authority,Job Title,1-800-555-9456,person@agency.gov,1
San Francisco Public Utilities Commission, Interception | Disposal,340786,Person from San Francisco Public Utilities Commission,Job Title,1-800-555-6176,person@agency.gov,10
Shasta Lake City,Interception | Treatment | Disposal,662555,Person from Shasta Lake City,Job Title,1-800-555-1844,person@agency.gov,6
Sonoma County Water Agency (SCWA) R1,Interception | Treatment | Disposal,153222,Person from Sonoma County Water Agency (SCWA) R1,Job Title,1-800-555-8598,person@agency.gov,7
IBWC-US & Mexico Section,Collection | Interception | Treatment | Disposal,50767,Person from IBWC-US & Mexico Section,Job Title,1-800-555-6995,person@agency.gov,1
South San Luis Obispo CSD,Interception | Treatment | Disposal,461657,Person from South San Luis Obispo CSD,Job Title,1-800-555-3373,person@agency.gov,7
Stockton City,Interception | Treatment | Disposal,847579,Person from Stockton City,Job Title,1-800-555-2892,person@agency.gov,6
Colton City,Treatment,62928,Person from Colton City,Job Title,1-800-555-3491,person@agency.gov,5
Rialto City,Collection | Interception | Treatment,553369,Person from Rialto City,Job Title,1-800-555-1390,person@agency.gov,2
Riverside City,Interception | Treatment | Disposal,197536,Person from Riverside City,Job Title,1-800-555-5021,person@agency.gov,6
Irvine Ranch Water District,Collection | Interception | Treatment | Disposal,640625,Person from Irvine Ranch Water District,Job Title,1-800-555-3806,person@agency.gov,1
Orange CSD,Collection | Treatment,127684,Person from Orange CSD,Job Title,1-800-555-7021,person@agency.gov,3
Yucaipa Valley Water District,Collection | Interception | Treatment,598716,Person from Yucaipa Valley Water District,Job Title,1-800-555-2084,person@agency.gov,2
Inland Empire Utilities Agency,Interception | Treatment | Disposal,165968,Person from Inland Empire Utilities Agency,Job Title,1-800-555-4039,person@agency.gov,6
Beaumont City,Collection | Interception | Treatment | Disposal,635945,Person from Beaumont City,Job Title,1-800-555-5755,person@agency.gov,1
Corona City DWP,Collection | Disposal,702417,Person from Corona City DWP,Job Title,1-800-555-9319,person@agency.gov,9
Colton/San Bernardino RTT&WRA,Collection | Disposal,572050,Person from Colton/San Bernardino RTT&WRA,Job Title,1-800-555-4878,person@agency.gov,9
Eastern Municipal Water District,Collection | Treatment,743470,Person from Eastern Municipal Water District,Job Title,1-800-555-4712,person@agency.gov,3
Western Riverside County Regional Wastewater Authority,Treatment,855853,Person from Western Riverside County Regional Wastewater Authority,Job Title,1-800-555-8603,person@agency.gov,5
Elsinore Valley Municipal Water Dist,Interception | Treatment | Disposal,206188,Person from Elsinore Valley Municipal Water Dist,Job Title,1-800-555-8846,person@agency.gov,6
Temescal Valley Water District,Collection | Disposal,115754,Person from Temescal Valley Water District,Job Title,1-800-555-5152,person@agency.gov,9
San Bernardino City Municipal Water Dept,Collection | Treatment,34164,Person from San Bernardino City Municipal Water Dept,Job Title,1-800-555-3692,person@agency.gov,3
Sunnyvale City,Interception | Treatment | Disposal,368480,Person from Sunnyvale City,Job Title,1-800-555-1633,person@agency.gov,6
Susanville Consol SD,Treatment | Disposal,389038,Person from Susanville Consol SD,Job Title,1-800-555-1195,person@agency.gov,4
Santa Clarita Valley SD of Los Angeles Cnty,Treatment | Disposal,457326,Person from Santa Clarita Valley SD of Los Angeles Cnty,Job Title,1-800-555-9480,person@agency.gov,4
Simi Valley City,Interception | Treatment | Disposal,676278,Person from Simi Valley City,Job Title,1-800-555-8681,person@agency.gov,6
Tracy City,Treatment,32317,Person from Tracy City,Job Title,1-800-555-2191,person@agency.gov,5
Rio Vista City, Interception | Disposal,368702,Person from Rio Vista City,Job Title,1-800-555-1398,person@agency.gov,10
Turlock City,Treatment | Disposal,558984,Person from Turlock City,Job Title,1-800-555-8464,person@agency.gov,4
Las Virgenes MWD,Collection | Disposal,48201,Person from Las Virgenes MWD,Job Title,1-800-555-7426,person@agency.gov,9
UC Davis,Collection | Interception | Treatment,408831,Person from UC Davis,Job Title,1-800-555-1829,person@agency.gov,2
Ukiah City,Collection | Treatment,715242,Person from Ukiah City,Job Title,1-800-555-8135,person@agency.gov,3
Union Sanitary District,Collection | Treatment,326284,Person from Union Sanitary District,Job Title,1-800-555-1214,person@agency.gov,3
Vallejo Flood & Wastewater District (formerly Vallejo San & Flood Control District),Collection | Interception | Treatment | Disposal,621646,Person from Vallejo Flood & Wastewater District (formerly Vallejo San & Flood Control District),Job Title,1-800-555-8271,person@agency.gov,1
Valley Sanitary District,Collection | Interception | Treatment,240984,Person from Valley Sanitary District,Job Title,1-800-555-2097,person@agency.gov,2
Victor Valley Wastewater Reclamation Authority,Collection | Interception | Treatment,821763,Person from Victor Valley Wastewater Reclamation Authority,Job Title,1-800-555-4756,person@agency.gov,2
Ventura City,Interception | Treatment,841440,Person from Ventura City,Job Title,1-800-555-4732,person@agency.gov,8
Chico City,Collection | Treatment,224837,Person from Chico City,Job Title,1-800-555-8329,person@agency.gov,3
Watsonville City,Interception | Treatment | Disposal,800309,Person from Watsonville City,Job Title,1-800-555-6961,person@agency.gov,6
West County Wastewater District,Collection | Treatment,117984,Person from West County Wastewater District,Job Title,1-800-555-6944,person@agency.gov,3
Willits City,Interception | Treatment | Disposal,45867,Person from Willits City,Job Title,1-800-555-3038,person@agency.gov,6
Willows City,Collection | Interception | Treatment,629182,Person from Willows City,Job Title,1-800-555-5353,person@agency.gov,2
Windsor Water District,Collection | Interception | Treatment | Disposal,178622,Person from Windsor Water District,Job Title,1-800-555-1222,person@agency.gov,1
Woodland City,Collection | Treatment,599498,Person from Woodland City,Job Title,1-800-555-3628,person@agency.gov,3
Cutler-Orosi JT Powers WW Authority,Treatment | Disposal,69855,Person from Cutler-Orosi JT Powers WW Authority,Job Title,1-800-555-2911,person@agency.gov,4
West Basin MWD,Interception | Treatment | Disposal,509613,Person from West Basin MWD,Job Title,1-800-555-3220,person@agency.gov,6
Yuba City,Collection | Treatment,714346,Person from Yuba City,Job Title,1-800-555-3533,person@agency.gov,3
Newhall Ranch SD,Treatment | Disposal,712957,Person from Newhall Ranch SD,Job Title,1-800-555-1145,person@agency.gov,4
Atwater City,Treatment | Disposal,403489,Person from Atwater City,Job Title,1-800-555-2402,person@agency.gov,4
Water Replenishment District of Southern California,Interception | Treatment,465567,Person from Water Replenishment District of Southern California,Job Title,1-800-555-5384,person@agency.gov,8
American Valley CSD,Collection | Interception | Treatment,219326,Person from American Valley CSD,Job Title,1-800-555-6819,person@agency.gov,2
Alturas City,Collection | Disposal,919241,Person from Alturas City,Job Title,1-800-555-6833,person@agency.gov,9
Angels City, Interception | Disposal,440400,Person from Angels City,Job Title,1-800-555-6063,person@agency.gov,10
United Auburn Indian Community,Interception | Treatment | Disposal,754445,Person from United Auburn Indian Community,Job Title,1-800-555-7170,person@agency.gov,7
Avila Beach CSD,Interception | Treatment | Disposal,753766,Person from Avila Beach CSD,Job Title,1-800-555-8592,person@agency.gov,7
"Bear Valley Water District (Bear Valley, CA)", Interception | Disposal,443009,"Person from Bear Valley Water District (Bear Valley, CA)",Job Title,1-800-555-5780,person@agency.gov,10
Ca Dept of Parks & Rec Tahoma,Interception | Treatment | Disposal,723284,Person from Ca Dept of Parks & Rec Tahoma,Job Title,1-800-555-1729,person@agency.gov,6
Southern California Edison- Rosemead,Interception | Treatment | Disposal,332685,Person from Southern California Edison- Rosemead,Job Title,1-800-555-7955,person@agency.gov,7
Biggs City,Collection | Treatment,734200,Person from Biggs City,Job Title,1-800-555-1323,person@agency.gov,3
Calistoga City PWD,Collection | Disposal,251569,Person from Calistoga City PWD,Job Title,1-800-555-9532,person@agency.gov,9
Nevada CSD No 1,Collection | Treatment,535047,Person from Nevada CSD No 1,Job Title,1-800-555-9486,person@agency.gov,3
Chester PUD,Collection | Interception | Treatment | Disposal,264684,Person from Chester PUD,Job Title,1-800-555-4086,person@agency.gov,1
Jackson City,Collection | Interception | Treatment | Disposal,198389,Person from Jackson City,Job Title,1-800-555-3806,person@agency.gov,1
Colfax City, Interception | Disposal,873473,Person from Colfax City,Job Title,1-800-555-6947,person@agency.gov,10
College of the Redwoods,Collection | Interception | Treatment,758909,Person from College of the Redwoods,Job Title,1-800-555-5254,person@agency.gov,2
Colusa City,Collection | Disposal,378276,Person from Colusa City,Job Title,1-800-555-9440,person@agency.gov,9
Shasta CSA #17,Treatment,800146,Person from Shasta CSA #17,Job Title,1-800-555-1165,person@agency.gov,5
"Country Life MHRVP Asset Partners, L.P.",Treatment,165667,"Person from Country Life MHRVP Asset Partners, L.P.",Job Title,1-800-555-5277,person@agency.gov,5
Covelo CSD,Treatment | Disposal,790155,Person from Covelo CSD,Job Title,1-800-555-1227,person@agency.gov,4
Date Gardens Asset Partners LP,Collection | Disposal,390097,Person from Date Gardens Asset Partners LP,Job Title,1-800-555-7765,person@agency.gov,9
Grizzly Lake CSD,Collection | Interception | Treatment | Disposal,361162,Person from Grizzly Lake CSD,Job Title,1-800-555-2028,person@agency.gov,1
Ca Dept of Corrections & Rehabilitation,Collection | Interception | Treatment | Disposal,291116,Person from Ca Dept of Corrections & Rehabilitation,Job Title,1-800-555-5501,person@agency.gov,1
Donner Summit Public Utilities District,Interception | Treatment | Disposal,93860,Person from Donner Summit Public Utilities District,Job Title,1-800-555-9520,person@agency.gov,7
Dunsmuir City,Treatment | Disposal,900574,Person from Dunsmuir City,Job Title,1-800-555-7396,person@agency.gov,4
Ferndale City,Treatment | Disposal,356417,Person from Ferndale City,Job Title,1-800-555-1805,person@agency.gov,4
Forestville Water District,Collection | Treatment,288169,Person from Forestville Water District,Job Title,1-800-555-9245,person@agency.gov,3
Orange County Water District, Interception | Disposal,502579,Person from Orange County Water District,Job Title,1-800-555-7048,person@agency.gov,10
River Highlands CSD,Treatment,532930,Person from River Highlands CSD,Job Title,1-800-555-7903,person@agency.gov,5
Heber PUD,Interception | Treatment,362955,Person from Heber PUD,Job Title,1-800-555-6078,person@agency.gov,8
Heritage Ranch CSD,Interception | Treatment | Disposal,817121,Person from Heritage Ranch CSD,Job Title,1-800-555-7016,person@agency.gov,7
Holtville City,Collection | Interception | Treatment,546926,Person from Holtville City,Job Title,1-800-555-9978,person@agency.gov,2
Imperial CCD,Treatment,427930,Person from Imperial CCD,Job Title,1-800-555-2242,person@agency.gov,5
Loleta CSD,Collection | Interception | Treatment | Disposal,95266,Person from Loleta CSD,Job Title,1-800-555-9759,person@agency.gov,1
Marin Cnty Sanitary District 5,Collection | Interception | Treatment,629595,Person from Marin Cnty Sanitary District 5,Job Title,1-800-555-1568,person@agency.gov,2
Mendocino City CSD,Collection | Treatment,268983,Person from Mendocino City CSD,Job Title,1-800-555-2084,person@agency.gov,3
Mendocino County WWD #2 Anchor Bay,Collection | Treatment,562518,Person from Mendocino County WWD #2 Anchor Bay,Job Title,1-800-555-6063,person@agency.gov,3
Tehama  Co SD #1,Interception | Treatment | Disposal,905845,Person from Tehama  Co SD #1,Job Title,1-800-555-5595,person@agency.gov,7
Mt Shasta City,Interception | Treatment | Disposal,890603,Person from Mt Shasta City,Job Title,1-800-555-8652,person@agency.gov,6
Los Angeles Cnty DPW,Collection | Treatment,23778,Person from Los Angeles Cnty DPW,Job Title,1-800-555-5811,person@agency.gov,3
Nevada City,Collection | Interception | Treatment,98141,Person from Nevada City,Job Title,1-800-555-4164,person@agency.gov,2
Niland SD,Interception | Treatment,654843,Person from Niland SD,Job Title,1-800-555-4173,person@agency.gov,8
Crockett Community Services District,Interception | Treatment | Disposal,600936,Person from Crockett Community Services District,Job Title,1-800-555-1833,person@agency.gov,6
Portola City,Collection | Interception | Treatment,638385,Person from Portola City,Job Title,1-800-555-6963,person@agency.gov,2
Ragged Point Inn,Treatment | Disposal,652111,Person from Ragged Point Inn,Job Title,1-800-555-7055,person@agency.gov,4
Redway CSD, Interception | Disposal,230210,Person from Redway CSD,Job Title,1-800-555-8469,person@agency.gov,10
Rio Dell City, Interception | Disposal,463349,Person from Rio Dell City,Job Title,1-800-555-4783,person@agency.gov,10
Calaveras Cnty Water District,Treatment,626654,Person from Calaveras Cnty Water District,Job Title,1-800-555-7550,person@agency.gov,5
San Andreas SD,Interception | Treatment | Disposal,644844,Person from San Andreas SD,Job Title,1-800-555-3453,person@agency.gov,7
San Simeon CSD,Collection | Interception | Treatment,903098,Person from San Simeon CSD,Job Title,1-800-555-5113,person@agency.gov,2
Scotts Valley City,Collection | Disposal,411620,Person from Scotts Valley City,Job Title,1-800-555-7987,person@agency.gov,9
Graton CSD,Treatment,995330,Person from Graton CSD,Job Title,1-800-555-1986,person@agency.gov,5
